bangla,chakma
তো মনে হচ্ছে এই ট্যানিস নগরী সম্পর্কে।,মনে অত্তে ইয়ান ট্যানিস নগরো নিনে।
আমাকে নির্দেশ দেওয়া হয়েছে তোমাকে এই ছোট্ট উপহারটি দেবার জন্য ।,মরে হুয়ুন্দে তরে এই চিগোন জিনিজ আন দিবাত্তেই ।
অসহ্য !,সহ্য গুরি নপারঙর।
এখন চলো !,এক্কু যেই !
হোম ইকোনমিক্স ক্লাসে সবসময় তাদের সাথে বসি।,হোম ইকোনমিক্স ক্লাজত সবসময় তারা লগে বজঙগে।
তোমার দুই গালে জুতা মারব তালে তালে।,ত দ্বিয়ান গালত তালি দি দি শুয়োর দিম্মি।
আমি জানি না ।,মুই হবর নপাঙ ।
দৌড়াও! আচ্ছা!,দাবাদে। আচ্ছা।
আমি অনেক জুতা পড়েছি।,মুই বালোক্কানি জুতা পিন্নোঙ।
এটা হোয়াইট স্টার লাইনের সম্পত্তি ।,ইয়ান হোয়াইট স্টার লাইন অর সম্পত্তি।
পেছনে থাকো !,পিচ্চেদি থাগো ।
আমি ভদ্রভাবে বলছি ।,মুই ভদ্রগুরি হঙত্তে ।
বাম দিকেরটা তৈরি হও ।,বামেদি জুক্কোল অহ।
"তুমি শুনেছ, গাধা ? দৌড়াও।","তুই শুন্নজ, গাধা ? দাবাদে।"
প্রথমে মহিলা আর শিশুদের তুলবে ।,আগে মিলেউন আর গুরো উনোরে তুলো ।
তুমি আজকে স্কুলে কেন আসলেনা?,তুই ইস্সি হিত্তায় ইস্কুলত ন এজস?
সে ওটার জন্য পাগল ছিল।,তে উবানোত্তে পাগল এল।
বিপদ তাড়াতাড়ি কেটে যাবে,বিপদ যাদিমাদি হাদেই যেব
আমাদের যেতে হবে ।,আমার উ যা পুরিবু।
জাহাজ আমাদের খারাপভাবে নিচে নিয়ে যাচ্ছে ।,জাহাজ হুব দর গরে পারা গুরি আমারে তলেদি নেযার।
কেউ আমাদের এটা শুনছে না ।,হেও আমা ইয়ান ন শুনদন ।
"এদিকে আসুন , সব ঠিক আছে , দয়া করুন ।","ইন্দি আয়,বেক ঠিক আগে,দয়া গর।"
কোন ঝামেলায় পড়েছি নাকি?,হন বেজালোত পোজ্জোং নাহি?
"জ্যাক, ইঞ্জিন!","জ্যাক, ইঞ্জিন!"
তুমি বিশ্বাস করতে পার এটা?,তুই কি বিশ্বস যাস ইয়ান?
হারিকেন কার্মেন কাল এখানে দিয়ে গিয়েছে।,হারিকেন কার্মেনে হিল্লি ইন্দি গুরি যিয়েগোই।
জাহাজের অর্ধেক মানুষ মারা যাবে ।,জাহাজ আনর অদ্দেক মানুজ মুরিবাক ।
তুমি চিন্তা করবে না ।,তুই চিদে ন গুরিজ ।
"আসো, সে পালিয়ে যাচ্ছে!","আয়,তে দে জাত্তে।"
আর সে ওখানে ঠিক থাকবে।,তে সিয়ত গম তেব।
নৌকাগুলো চলে গেছে !,নৌকো আনি যিয়েগোই !
আপনারা সেটা নিন ।,তুমি সিদু নেযো ।
এটার মূল্য কতো সেটা সকালেই বুঝতে পারবে ।,ইয়ানোর মূল্য হত্তমান সিয়ান বেক্কুনে বুজিবাক ।
ওরা বাহিরের মত এখানেও আমাকে মেরে ফেলতে পারে।,তারা বাইরে দুক্কিন গুরি ইয়ত উ মারে ফেলে পারন।
তিনি কখনো এটা বলেননি।,তে হোনো ইয়ান নহয়।
"ছোট চাবিটা , ছোট চাবিটা দিয়ে চেষ্টা করো ।","চিগোন চাবিয়ান , চিগোন চাবিয়ান্দোই গুরি সা ।"
আমি পরোয়া করিনা।,মুই ন দরাঙ।
আমি তোমাকে বিশ্বাস করি ।,মুই তরে বিশ্বেজ গরঙ ।
আমি যেতাম তো তোমার দৌড়াতে হত।,মুই যেদুং দ মর দাবা দি পরিদু।
আমি তোমাকে অনেক মিস করব।,মর তরে মনত উদিবু।
আমি বুঝতে পেরেছি ।,মুই বুঝি পাজ্জোঙ।
"কায়রো, এটা শহর নয় যেন পৃথিবীর স্বর্গ।","কায়রো, ইয়েন শহর নয় যেনো পিত্থিমির স্বর্গ।"
তুমি একজন দারুন মিথ্যাবাদী ।,তুই হুব দোলে মিজে হদা হোই জানচ।
এখন,এক্কুনু
"ঠিক আছে, আমরা এটার ধারণক্ষমতা সম্পর্কে নিশ্চিত ছিলাম না।","ঠিক আগে, আমি ইয়ানত হদক জন আদিবাক সিয়ান হবর ন পেদঙ।"
এখন তার শরীর ভালো না।,এক্কু হিয়েআন গম নেই।
"একবার, এক যুবক ছেলে আমাদের সাথে থাকত, আর তার কাছে একটা গিটার কেস ছিল।","একবার ইগ্গু গাবুজ্জি পো আমা লগে থেদ,আ তার ইগ্গু গিটার এলহ্।"
"আসুন লুস, জাহাজে উঠুন ।","এজ,জাহাজ আনোত উদোগি।"
ধনীদের অর্ধেক নয় ।,থাগোয়ে উনোর অর্দেক নয় ।
তুমি কি কখনো স্বপ্ন দেখ ?,তুই হি কনদিন সবনে দিক্কজ ?
"তুমি অনেক ভালো করেছ, মা আমার মতে, তুমি তোমার ভাগ্য নিজেই বানাও।","তুই বজমান গম গুচ্চুজ,মা ম মতে,তুই ত ভাগ্য তুই বানাজ।"
কিন্ত আমাদের খারাপ লাগতনা।,আমার খারাপ  ন লাগিদু।
এটা নিচে নামাও না,ইয়ান থলেদি লামা না
তুমি অনেক বোকা ।,তুই যদবদে ভুল ।
"আমাদের কাছে বেশি টাকা আছে বাবা, আমি আমার জীবনে অনেক কাহিনী শুনেছি, কিন্ত এটা সবচেয়ে ভালো।","আমা ইদু বেজ টেংঙা আগন বাবা,মুই ম জিংহানিত ভালোক্কানি পজ্জন শুন্নুং,হালিক ইয়ান বেগত্তুন গম।"
এরপর তুমি আসবে মামনি ।,এতার পর তুই এবেদে মামা ।
"ভালো কথা, একটা বিপদ কমে গেল।","গম হদা, এক্কান বিপদ হুমি যেল।"
তাকে ঘরে ফিরে পেয়ে অনেক ভালো লেগেছিল।,তারে ঘরত ফিরি পেনে বজমান গম লাক্কি।
"কিন্ত আমরা এর কিছুই বুঝতে পারছিনা সম্ভবত আপনি বলতে পারবেন , ট্যানিস ডেভেলপমেন্টের কার্যক্রম।","হিন্তু আমি ইয়ানোর হিজ্জু বুজি ন পারির , তুই কোই পারজ , ট্যানিস বিভেগোর কাম।"
ভালো না?,গম আগজ?
আমরা এটা করতে যাচ্ছি ।,আমি ইয়ান গুরিবাত্তেই যের ।
তাকে ছেড়ে দাও।,তারে এরি দে।
একটু ধরো।,এক্কা ধর।
মা অনেক চালাক মেয়ে ছিল।, মামা বঝমান চালাক এলহ্।
প্রধান সিঁড়ির কাছে ফিরে যাও।,মেইন সিঁড়ি আন সিন্দি ফিরি যোগোই ।
আচ্ছা।,ওদে।
কিন্তু এখন ঠিক আছি।,কিন্তু ইক্কি ঠিক আগে।
জলদি চলুন।,যাদি যেই।
"আপনি করতে বলেছিলেন, ড্রিল সার্জেন্ট।","তুই গুরিবাত্তে হুয়চ্ছি নাহি, ড্রিল সার্জেন্ট।"
"তুমি আমার থেকে দুরে থাক, ঠিক আছে?",তুই মত্তুন দুরোত থাক ঠিক আগে?
আমার আপনার সাহায্য প্রয়োজন ।,মর ত অ্যাজাল লাগের।
আমি পেরেছি ।,মুই পাজ্জুঙ ।
"বিষ এখনো তাজা, তিন দিন ধরে।","বিজ এজ সঙ জেদা, তিন দিন দুরি।"
"দেখ, তুমি নৌকায় ২০ জন যাত্রী নিয়েছ, নৌকা ৬৫ জনের জন্য তৈরি করা হয়েছে ।","সা তুই নৌকোত ২০ জন মানুচ লুয়োচ, ইয়ান ৬৫ জনত্তেই বানেয়ে।"
আমি পুরোটাসময় কথা বলছিলাম।,মুই গোদা সময় ও হদা হুয়ুঙে।
দাড়াও।,দারা।
সাহায্য করো ।,অ্যাজাল দু ।
কী হয়েছে?,কি উয়ে?
হবিটোস কাছে কোথাও আছে ।,আদে-হাজে কনকিত্ত্যা হবিটোস আঘে ।
তারা আমাদের পিছু নিয়েছে ।,তারা আমা পিচ্ছে লাক্কোন ।
এটাই সেটা ।,ইয়েনই সিয়েন ।
এটাকেই ফরেস্টাল খুঁজেছিল ।,ইয়ানরেই ফরেস্টাল থোগেয়ে ।
সে আপনার বন্ধু ?,তে ত সমাজ্জে ?
বেশ দক্ষ ছিল ।,ভজমান কাবিল এল ।
অনেক অনেক দক্ষ ছিল ।,ভজমান ভজমান কাবিল ।
থামো ।,অলর অ ।
এখানেই থাকো ।,ইয়োত থাগ ।
ঐ চাবুকটা আমাকে দাও ।,ওই চাবুক্কান মরে দে ।
মূর্তিটা এদিকে ফালান ।,মুক্তিবু ইন্দি ফেলা ।
এখন ঝগড়ার সময় নয় ।,ইক্কুনু হোজ্জে বাজানা অক্ত নয় ।
মূর্তি আমাকে দিলে চাবুক পাবেন ।,মুক্তিবু মরে দিলে চাবুক পেবে ।
এবার চাবুক দাও !,এবার চাবুক দে ।
ডাক্তার জোন্স ।,ডাক্তর জোন্স ।
আবারো দেখছি আপনার কাছে আমার দরকারি কিছু জিনিস রয়ে গেছে ।,আরো দেগঙর ত সিদু ম দারাজ হিজু রই যেয়ে ।
সঙ্গী নির্বাচনে ভুল করেছেন ।,সমাজ্জে ঠিগ গরদে ভুল গোজ্জে ।
"বেচারা হবিটোস , তারা তোমাকে আমার মত করে জানেনা ।","বেজেরা হবিটোস , তারা মরে ম দোক্কেন গরি ন জানন ।"
"হ্যা , বেচারা ।","অ , বেজেরা"
জ্যাক !,জ্যাক !
"প্লেনে এক অনেক বড় সাপ আছে , জ্যাক !","জ্যাক , প্লেনোত দাঙর ইক্কো সাপ আঘে !"
"হ্যা , ওটা আমার পালা সাপ !","অ , সিবে ম পুজুনো সাপ !"
"সাপ আমার পছন্দ নয় , জ্যাক । একদম নয় !","জ্যাক , সাপ মর গম ন লাঘে । এক্কেরে নয় !"
"ঠিক আছে , ব্যাপারটা ভালো করে বোঝ :হ্যাজেল্টনের কাছে এই টার্কডিন স্তূপ ।","ঠিগ আঘে , ব্যাপারান গমে দালেন বুজ :হ্যাজেল্টনো সিদু এই টার্কডিন চুগ ।"
"এটাকে চুরি মনে কোরনা , এই অবস্থায় ।",ইয়ানরে চুর মনে ন গরিচ ।
এখান থেকে অনেক কিছু সরাতে হবে এখন এই সাইট আমাদের এটাও জানাচ্ছে যে ।,"ইয়োত্তুন অনেক হিজু পেলে দে পরিবো , ইক্কুনু এ সাইড আমারে ইয়ানরে জানাত্তে ।"
এটা প্রত্নতত্ত্বের জন্য সবচেয়ে বড় বিপদ ।,ইয়ান প্রত্নতত্ত্ব-তে ভজমান দাঙর বিপদ ।
আর এগুলোর অবস্থা বেশ খারাপ ।,আ ইগুনোর অবজ্থা ভজমান হারাপ ।
যদিও তিন নাম্বার চেম্বারে কেউ হাতে লাগায়নি ।,জুনিও তিন নম্বর চেম্বারোট হিয়োজনে আদ ন লাগান ।
যা কারণটা হল ।,যে হারনান অল ।
কারো কোন প্রশ্ন আছে ?,কারর হন পুজোর আঘে ?
"ঠিক আছে , আজ তাহলে এ পর্যন্তই ভুলে যেওনা ।","ঠিগ আঘে , এচ্যে সালেন ইদ্দুর হুরি ন পেলেজ ।"
"আমার কাছে ছিল , মার্কাস ।","ম সিদু এল , সার্কাস ।"
ওটা আমার হাতে ছিল ।,সিবে ম আহদত এল ।
অনুমান করো ।,ইদোত তুল ।
শুনতে চাও ? একদম নয় আমি নিশ্চিত তুমি মিউজিয়ামের জন্য যা করো ।,শুনিবার চাজ ? এক্কেরে নয় মুই হামাক্কায় তুই জাদুঘরত্তে যিয়ান গরচ ।
"ওটা অত্যন্ত সুন্দর , মার্কাস ।","সিয়েন ভজমাম দোল , সার্কাস ।"
আমি আনতে পারব আমি সব ঠিক করে রেখেছি ।,মুই আমি পারিম মুই বেক ঠিগ গরি রাঘেয়োং ।
সে ওটা একটা জায়গাতেই বিক্রি করতে পারবে ।,তে উবোন এক্কান জাগাত বেজি পারিবো ।
"মারাকেশ শুনো , দোস্ত কিছু লোক নিয়ে এসেছি দেখা করার জন্য ।","শুন মারাকেশ , সমাজ্জে হিজু মানুজ আন্নোং দেঘা গরিবাত্তে ।"
"এগুলো বেশ ভালো , মার্কাস ।","ইগুন ভজমান গম , মার্কাস ।"
বেশ সুন্দর এগুলো কারণে ।,ভজমান দোল ইগুনোত্তে ।
"যেই লোকদের এনেছি তারা অনেক গুরুত্বপূর্ণ , তারা বাহিরে আছে ।","যে মানুজ্জুন আন্নোং তারা ভজমান , তারা বারেহ্ আঘন ।"
কীরকম লোক ? আর্মি ইন্টেলিজেন্স ।,হেনান্নে মানুজ ?
তারা জানত তুমি আসবে তারা সবকিছুই জানে ।,তারা হবর পেদাক তুই এবে তারা বেক্কানি হবর পান ।
কী চায় সেটা আমাকে বলেনি ।,হি চায় সিয়েন মনে ন কয় ।
কিন্ত আমি কেন দেখা করব ?,হিন্তু মুই কিত্তে দেঘা গরিম ?
ধন্যবাদ ।,এ্যাংকুর ।
"আপনি অনেক রকমের প্রতিভার লোক , আপনি শিকাগো ইউনিভার্সিটিতে পড়েন ?","তুই ভজমান কাবিল মানুজ , তুই শিকাগো ইউনিভার্সিটিত পরজ ?"
"হ্যা , ঠিক বলেছেন ।","অধে , ঠিগ কোয়োজ ।"
তার অবস্থান সম্পর্কে কিছু জানেন ?,তাহ্ অবজ্তান নিনে হি জানচ ?
এশিয়ার কোথাও আছে ।,এশিয়ের হুদু এক্কানোত ।
"গত দশ বছরে উনার সঙ্গে দেখা হয়নি আমরা বন্ধু , তবে ।",গেল দে ১০ বজরে তাল্লোই দেঘা ন অয় ভেই হিন্তু ।
"এটা পুরোপুরি গোপন তথ্য , ঠিক আছে ?","ইয়ান বেক্কান লুঘেয়ে হবর , ঠিগ আঘে ?"
"হ্যা , বুঝতে পারছি গতকাল দুপুরে , আমাদের গোপন বিভাগে একটা জিনিস পাওয়া গিয়েছে ।","অধে , বুজি পাজ্জোং গত কেল্লে দিবুজ্জে , আমাহ্ লুঘেয়ে বিভেগোত এক্কান জিনিজ পাহ্ যেয়্যে ।"
"যেটা কায়রো থেকে বার্লিনে পাঠানো হয়েছিল - আরও কায়রো - শুনুন , গত দু বছর ধরে ।","যিয়েন কায়রোত্তুন বার্লিনোত পাদেই দে অয়্যে - আর কায়রো - শুন , গত দ্বি-বজর ধুরি ।"
হিটলার এই জিনিসের প্রতি পাগল ।,হিটলার এক্কান জিনিজোর প্রতি পাগল ।
আমরা কিছু তথ্য পেয়েছি ।,আমি হিজু হবর পেয়্যে ।
নাৎজিরা ট্যানিসের সন্ধান পেয়ে গিয়েছে ।,নাৎজিউনে ট্যানিস সুগ পেয়োন ।
"হারানো সিন্দুক ? হ্যা , সন্ধির সিন্দুক ।","আরেয়্যে সিন্ধুক ? অধে , আরেয়্যে সিন্দুগ ।"
যদি ধর্ম বিশ্বাস করে থাকেন ।,যুনি ধর্ম বিশ্বেজ গরি থাচ ।
আপনারা কেউ ছোটবেলায় রবিবারের স্কুলে যাননি ?,তুমি হিয়োজনে সিগোন থাগদে রবিবারে স্কুলোত ন য ?
জেরুজালেমে সিন্দুক ওখানে অনেক বছর ধরে ছিল ।,জেরুজালেমোত সিন্দুক উবুত ভালক বজর ধুরি এল ।
কোথায় ? কেউ জানেনা কবে কোথায় ।,কুদু ? হনোজনে ন জানন হমলে কুদু ।
যার কারণে সেটা মরুভূমিতে রূপান্তর হয়েছে ।,যিয়ানর হারণে সিয়ান মুরুভুমিত রুপ নেয়েয়ে ।
বোঝাই যাচ্ছে আমরা সঠিক স্থানে এসেছি ।,বুঝা যার আমি ঠিগ জাগাত এচ্চে ।
"আপনারা সবকিছু জানেন না , না খুব বেশি নয় ।","তুমি বেক্কানি হবর ন প , নয় হুব বেজ নয় ।"
এক মিনিট দাড়াও ।,এগ মিনিট দারা ।
আমি চেষ্টা করছি ।,মুই চেরেজ্টা গরিম ।
আমি তোমাকে সবকিছু বলে দিব ।,মুই তরে বেক্কানি কোম ।
গুলি করো ।,গুলি গর ।
"জোন্স , তুমি জানো কীভাবে একটা মেয়েকে সুখ দিতে হয় ?","জোন্স , তুই জানচ হিঙিরি ইক্কো মিলিরে সুক দি পরে ?"
কী বলছ তুমি ! একটা কথা শুনে রাখো আমাকে $5 হাজার না দেওয়া পর্যন্ত ।,হি হজ তুই ! এক্কান কধা শুনি রাগা মরে $৫ আজার ন দেনা সং ।
তোমাকে অনেক কিছু সইতে হবে ।,তত্তুন অনেক হিজু সহ্য গরা পরিবু ।
ওদের চেনো তুমি ।,তারারে চিনজ তুই ?
সব সাঙ্গপাঙ্গরা এখানে আছে ।,বেক সাঙ্গপাঙ্গউন ইয়ত আগন ।
"প্রত্যেকের নিউ ইয়র্ক স্টেটে ২৫ বছর করে ধরে রেখেছি । পুরা ২৫ বছর , দোস্ত ।",বেক্কুনরে নিউ ইয়র্ক স্টেট অদ ২৫ বজর রাগুিউঙগে । পুরো ২৫ বজর ভেই ।
তুমি কেক বানাবে ?,তুই হি কেক বানেবেদে নাহি
জিমির সাথে কথা বলেছি ।,জিমিল্লোই কধা হুয়ং ।
সে আমাকে কিছু টাকা দিতে চেয়েছে ।,তে মরে কিজু টেঙা দিবার চিয়ে ।
কী হচ্ছে এতটুকুই জানতে চায় সে ।,কি উয়ে সিয়ান জানিবার চায় তে ।
সে তোমার সাথে কথা বলতে চায় । জিমি আর ওর টাকা গোল্লায় যাক ।,তে তল্লোই কধা কবার চায় । জিমি আ তা টেঙাগুন বরবাদ জাদোক ।
এখনে আরও সহজ হবে ।,ইক্কি আড়হ্ জুদ অব ।
ওদের সন্দেহ আমি হয়ত সব ফাঁস করে দেব ।,তারা সন্দেহ গরন্নে মুই হয়ত বেক্কানি হোই দিম্মোই ।
সবাই এখনি আমার থেকে দূরে চলে যাচ্ছে ।,বেক্কুনি ইক্কি মত্তুন দূরত জাদন্নোই ।
আমাকে বের করো তুমি ।,মরে বাহির গর তুমি ।
ওরা বাড়ির সবখানে ছিল ।,তারা ঘর বেক জাগাআনিত এলাক ।
"ওটার দাম ৬০ ,০০০ ডলার !","ইয়ানর দাম ৬০ ,০০০ ডলার ।"
আমার টাকাটা দরকার ! ওটাই আমাদের সম্বল !,মর টেঙাগুন দরকার ।সিগুনুই আমার সম্বল ।
আর কী করা উচিত ছিল ?,আর হি গরানা দরকার এলহ্ ।
ওদের কাছে সার্চ ওয়ারেন্ট ছিল !,তারা ইদু সার্চ ওয়ারেন্ট এলহ্ ।
এই টাকাটাই আমাদের সম্বল !,এ টেঙাগুন আমা সম্বল ।
"পলি , আমি আসলেই দুঃখিত ।","পলি ,মুই আসলে দুঃখিত ।"
"এখান আমাকে বিশ্বাস করা যায় । আমি পরিষ্কার । বাচ্চাদের কসম , আর কিছু নেই ।","ইক্কি মরে বিশ্বাস গরা যায় । মুই পরিষ্কার । গুরোউনোর কসম , আর কিচ্ছু নেই ।"
তুমি আমার চোখের উপর চোখ রেখে মিথ্যা বললে ।,তুই মর চোগে চোগ রাগেনেই মিঝে কধা কলেদে ।
তুমি আমার সাথে আহাম্মকের মতো আচরণ করেছ ।,তুই মল্লোই পাগল দুক্কিন আচরন গুজ্জচ ।
"যেন তোমার কাছে কখনো মূল্যই ছিল না । তুমি যা বললে , তারপরে তোমার কাছে আসতে পারব না ।","যেন ত ইদু কনদিন মূল্যই ন এলহ্ । তুই যা হুয়স , তারপর আর ত ইদু এই ন পারিবু ।"
"জানো , আমি লজ্জিত ছিলাম ।","হবর পাঝ নি ,মুই জদবদে লাজেউং ।"
এখন আমার লজ্জা লাগছে ।,মুই ইক্কি লাজাঙ অর ।
"কিন্তু আমার আর কোথাও যাবার উপায় নেই , পলি ।","মর আর কনত্তি জেবার উপায় নেই , পলি ।"
তুমি আমার সব ।,তুই মর বেক্কানি ।
এবার আমি তোমার থেকে মুখ ফিরিয়ে নিলাম ।,এববার মুই তত্তুন মু ফেরে নেজিউঙ ।
এই টাকা দিয়ে আমি কফিনের ভাড়াও মেটাতে পারব না । - আমাকে যেতে হবে ।,এই টেঙাগুন্নোই মুই কফিন ভাড়াউ দি নপারিম । মর যা পুরিবু ।
"- আমি পালাতে চাই না । আমি চাই না । আমার কী উন্নতি করা উচিত , আর সব ছেড়ে দেব ?","মুই দেবার ন চাং । মু ন চাং । মর কি উন্নতি গরানা উচিত , বেক ছাড়ি দিম ।"
"আমরা এখানে থাকলে , মারা পড়ব । বুঝেছ ? মারা পড়ব ।","আমি ইয়ত থেলে মুরিবং , মুরিবঙে । বুচ্ছজ ? মুরিবঙে ।"
ওরা ওকে শান্ত রেখেছে । ভাল । খুব ভাল ।,তারা তারে অলর গুরি রাগেউন্নে । গম । বঝমমান গম ।
"জানো , তাকে কোন ধরণের প্রশ্ন ওরা করেছে ?","হবর পাঝ নি , তারে হিক্কি প্রশ্ন পিজোর গুজ্ঝোন ?"
"জিমি , আমি জানি না ।","মুই কবর নপাং , জিমি ।"
আমার মাথায় অন্য চিন্তা গিজগিজ করছে ।,মর মাদাত অন্য চিদি গুরেত্তে ।
আমার টাকা নেই ।,মর টেঙা নেই ।
মেয়েরা এখন পত্রিকা পড়ার মতো বড় হয়ে গেছে ।,মিলিগুন ইক্কি পেবার পুরিবার মত দাঙর উয়োন ।
"ওকে বোলো আমাকে ফোন করতে , কেমন ?",তারে হোজ মরে ফোন দিবাত্তে ।
তাঁর সাথে কথা হলেই ফোন করতে বলবে ।,তাল্লোই কধা অলো হোজ মরে ফোন দিদু ।
সে জানে না আমি তোমার সাথে দেখা করতে এসেছি ।,তে কবর নপাই মুই তল্লোই দেগা গুরিবাত্তে ইচ্ছোঙগে ।
যেন পাগল হয়েছে ।,পাগলঅ দগ উয়েদে ।
"দুই হাজার আছে । - থ্যাংকস , জিমি ।","দি হাজার আগন । থ্যাংকস , জিমি ।"
"ভেবো না , সব ঠিক হয়ে যাবে ।","ন ভাবিজ , বেগ ঠিগ ওই যেব ।"
আমার কাছে কিছু ডাইর ড্রেস আছে ।,ম ইদু কিজু ডাইর ড্রেস আগে ।
ওগুলো রাখবে তুমি ? নিজের জন্য বেঁছে নাও কয়েকটা । - আমার মায়ের জন্য ।,সিগুন রাগেবেদে নাহি তুই ? তল্লাই হয়েগ্গু বে রাগা । মামাল্লাই ।
"না , ওটা ওখানে । স্টোরের কর্নারে ।","না ,সিয়ান উবট । স্টোর কনাবুত ।"
"এটা চোরাই মাল , তাই নিচে কর্নারে রেখেছি ।","ইয়ান চোরা মাল ,সেনে তলে তুয়ঙে ।"
"যাও , সোনামণি , আমি দেখব তোমাকে ।","যা ,চিজি ,মুই তরে চেম ।"
"- থ্যাংকস , জিমি । - ভেবো না ।","থ্যাংকস , জিমি ।চিদি ন গুরিজ ।"
- চেষ্টা করব । - ভুলো না । আমাকে যেন ফোন দেয় সে ।,চেষ্টা গুরিম । পুরি নপেলেজ । যাতে তে মরে ফোন দেয় ।
- ওখানে ? - ঠিক নিচে ।,সিয়ত । ঠিক তলে ।
কোণায় নিচে রাখা আছে ।,কনাবুত তলে রাগিয়ে আগে ।
ওখানেই ।,এ সিয়ত ।
"না , সামনে যাও ।","না , সামনে যা ।"
"ওখানেই আছে । না , জিমি ।","সিয়ত আগে । না ,জিমি ।"
আমি তাড়ায় আছি । বাচ্চাদের আমার মা দেখছে ।,মুই এক্কা তাড়াত আগঙ । গুরোউনোরে ম মামা সাত্তে ।
আমাকে বাড়ি যেতে হবে ।,মর ঘরত যা পুরিবু ।
আমি পরে আসব !,মুই পরে এম ।
কারেন !,কারেন ।
কিছু না ।,কিচ্ছু নই ।
- কী হয়েছে ? - একটু ভয় পেয়েছি ।,কি উয়েদে ? এক্কা দোরিউঙে ।
"চাবি নিয়েছ ? - কী হয়েছে , কারেন ?","চাবিয়ান লুয়স ?কি উয়ে ,কারেন ?"
কোন সমস্যা নেই । - তুমি ভালো আছো ?,কন সমস্যা নেই । তুই গম আগজ ?
- হ্যাঁ ।,অদে ।
"আপনি যদি ক্রুয়ের অংশ হোন , কেউ আপনাকে বলবে না , তারা আপনাকে মারবে ।","তুই যদি ক্রয়ের অংশ অজ ,কন জনে তরে ন কবাক ,তারা তরে মারিবাক্কে ।"
এটা এভাবে হয় না । কোনো বিবাদ অথবা ঝগড়া সিনেমার মতো হয় না ।,ইয়ান ইদুক্কিন গুরি ন অয় । কন কুজ্জি বা ঝগড়া ফ্লিম অ দুক্কিন ন অয় ।
আপনার খুনিরা হাসি মুখে আসে ।,তরে মারে ফেল্লুন্নে ইয়ুন আজি আজি এজন ।
আপনার বন্ধু বেশে আসে ।,ত সমাজ্জিবু বাজি আাগে ।
যারা আজীবন আপনার পরোয়া করে গেছে ।,যারা আজীবন তরে দরেউন ।
"আমি সেখানে ১৫ মিনিট আগে যাই , আর জিমি সেখানে আগে থেকেই ছিল ।",মুই সিয়ত ১৫ মিনিট আগে জিয়ং আ জিমি সিয়ত আগেত্তুন দুরি এলহ্ ।
